,0
43,https://www.15min.lt/naujiena/aktualu/svietimas/pagal-islaidas-svietimui-lietuva-uzima-12-vieta-visoje-es-233-845544
44,https://www.15min.lt/naujiena/aktualu/svietimas/mokslo-metai-ilgeja-10-dienu-bus-mokoma-krasto-gynybos-abiturientai-gales-rasyti-brandos-darba-233-844482
45,https://www.15min.lt/naujiena/aktualu/svietimas/penki-universitetai-prarado-daugiau-nei-po-puse-pirmakursiu-233-844466
46,https://www.15min.lt/verslas/naujiena/mokslas-it/unikali-lietuviu-sukurta-mokymosi-sistema-pripazinta-isradimu-1290-844086
47,https://www.15min.lt/verslas/naujiena/mokslas-it/visi-mokytojai-ir-mokiniai-siemet-gaus-nemokamus-windows-ir-office-1290-843090
48,https://www.15min.lt/naujiena/aktualu/svietimas/i-policijos-mokykla-priimtas-131-kursantas-233-842584
49,https://www.15min.lt/naujiena/aktualu/nuomones/rimantas-vaitkus-mokytoju-atlyginimai-bausme-uz-nepavykusias-svietimo-reformas-18-842468
50,https://www.15min.lt/naujiena/aktualu/svietimas/baigesi-prasymu-i-profesines-mokyklas-registravimas-233-841638
51,https://www.15min.lt/naujiena/aktualu/nuomones/andrius-zalitis-geriausio-studentu-ir-destytoju-skaiciaus-santykio-beieskant-18-840904
52,https://www.15min.lt/naujiena/aktualu/svietimas/pozityvus-poziuris-gera-nuotaika-aukstas-emocinis-intelektas-misija-imanoma-233-840518
53,https://www.15min.lt/naujiena/aktualu/nuomones/kur-slypi-prastu-mokiniu-ugdymo-rezultatu-saknys-arba-kada-mokykloje-bus-teisiamas-kristupas-kolumbas-18-840394
54,https://www.15min.lt/naujiena/aktualu/svietimas/kaip-skaityti-pasakas-vaikams-kad-jos-butu-naudingos-233-840104
55,https://www.15min.lt/naujiena/aktualu/svietimas/lenkijos-lietuviai-s-skverneliui-issakys-rupescius-del-svietimo-situacijos-233-839706
56,https://www.15min.lt/verslas/naujiena/finansai/arteja-rugsejo-1-oji-kiek-kainuoja-mokyklines-uniformos-siuvimas-662-838384
57,https://www.15min.lt/naujiena/aktualu/svietimas/mokyklu-darbuotojams-rekomendacijos-kaip-atpazinti-smurta-patyrusius-vaikus-233-838158
58,https://www.15min.lt/naujiena/aktualu/pasaulis/15min-is-izoliuotos-afganistano-provincijos-tevai-vis-reciau-leidzia-vaikus-i-mokykla-ypac-mergaites-57-837376
59,https://www.15min.lt/naujiena/aktualu/lietuva/svietimo-darbuotojai-sako-nesulauke-is-premjero-atsakymo-del-didesniu-algu-56-837272
60,https://www.15min.lt/naujiena/aktualu/lietuva/pedagogu-profsajungos-premjero-prasys-aiskumo-del-atlyginimu-56-837050
61,https://www.15min.lt/naujiena/aktualu/komentarai/alisa-miniotaite-ar-musu-vaikai-gali-tiketis-lygybes-mokykloje-500-836330
62,https://www.15min.lt/gyvenimas/naujiena/pokalbiai/lietuvon-imigraves-australas-dievina-lietuviska-ora-zavisi-lietuviais-ir-kuria-naujoviska-mokykla-1040-834816
63,https://www.15min.lt/naujiena/aktualu/svietimas/studentais-jau-tapo-beveik-20-tukst-jaunuoliu-233-835912
64,https://www.15min.lt/naujiena/aktualu/svietimas/per-papildoma-priemima-stojantieji-dar-gales-pretenduoti-i-1-5-tukst-nemokamu-vietu-233-835702
65,https://www.15min.lt/naujiena/aktualu/svietimas/kunigu-seminarijos-pasipildys-19-naujoku-233-835640
66,https://www.15min.lt/naujiena/aktualu/svietimas/siuloma-ilginti-moksleiviu-pietu-pertraukas-233-834476
67,https://www.15min.lt/naujiena/aktualu/svietimas/i-aukstasias-mokyklas-pakviesta-dar-beveik-2-5-tukst-stojanciuju-233-834140
68,https://www.15min.lt/naujiena/aktualu/svietimas/svietimo-ir-mokslo-ministerija-skelbia-suaugusiuju-svietimo-programu-konkursa-233-833972
69,https://www.15min.lt/naujiena/aktualu/svietimas/stojantieji-sulauks-antrojo-etapo-kvietimu-studijuoti-233-833858
70,https://www.15min.lt/naujiena/aktualu/klaipedos-zinios/klaipedoje-pagerbta-118-simtukininku-839-831642
71,https://www.15min.lt/naujiena/aktualu/klaipedos-zinios/klaipedos-darzeliai-siemet-priims-daugiau-vaiku-839-831506
72,https://www.15min.lt/naujiena/aktualu/svietimas/besirenkantiems-pedagogikos-profesines-studijas-116-euru-stipendija-233-831484
73,https://www.15min.lt/naujiena/aktualu/nuomones/valdas-sutkus-busimu-bedarbiu-rengima-stabdo-rinka-procesas-jau-prasidejo-18-831440
74,https://www.15min.lt/naujiena/aktualu/nuomones/vaidotas-norkus-ziupsnelis-tiesos-apie-universitetus-lyderius-ir-viena-mirtininka-18-831332
75,https://www.15min.lt/naujiena/aktualu/lietuva/siauliu-universitetas-svietimo-politikos-sprendimai-dauzo-stojanciuju-viltis-56-830974
76,https://www.15min.lt/naujiena/aktualu/svietimas/tarptautineje-matematikos-olimpiadoje-lietuviai-iskovojo-du-bronzos-medalius-233-830658
77,https://www.15min.lt/naujiena/aktualu/svietimas/vienintele-smm-rekomenduojamo-balo-netaikiusi-kolegija-kone-verslo-imone-su-pajegiais-studentais-233-830494
78,https://www.15min.lt/naujiena/aktualu/svietimas/vu-prorektorius-sako-kad-programas-tenka-uzdarineti-del-dubliavimosi-233-830316
79,https://www.15min.lt/naujiena/aktualu/svietimas/studijuoti-aukstosiose-mokyklose-pakviesti-per-22-tukst-studentu-233-830174
80,https://www.15min.lt/naujiena/aktualu/svietimas/stojantieji-sulauks-kvietimu-studijuoti-233-830146
81,https://www.15min.lt/naujiena/aktualu/nuomones/mantas-karanauskas-kas-mokys-lietuvos-vaikus-18-829444
82,https://www.15min.lt/naujiena/aktualu/svietimas/valstietis-v-simulikas-teismui-skundzia-priemimo-i-aukstasias-mokyklas-terminus-233-829458
83,https://www.15min.lt/naujiena/aktualu/nuomones/ingrida-egle-zindziuviene-apie-gyvenima-miske-arba-kodel-i-aukstasias-mokyklas-istoje-studentai-bus-izymus-18-829226
84,https://www.15min.lt/naujiena/aktualu/svietimas/studentas-ir-laisvasis-klausytojas-kuo-jie-skiriasi-233-829196
85,https://www.15min.lt/naujiena/aktualu/nuomones/jonas-ruskus-itraukus-ugdymas-visu-vaiku-ugdymo-kokybei-18-828832
86,https://www.15min.lt/naujiena/aktualu/svietimas/stojanciuju-i-aukstasias-mokyklas-1-7-tukst-maziau-nei-pernai-233-828632
87,https://www.15min.lt/naujiena/aktualu/svietimas/dar-nesibaigus-priemimui-aukstosios-mokyklos-sustabde-64-studiju-programas-233-828248
88,https://www.15min.lt/naujiena/aktualu/svietimas/siaures-lietuvos-kolegija-stabdo-studentu-priemima-nuo-2020-uju-nebevykdys-studiju-233-827758
89,https://www.15min.lt/naujiena/aktualu/nuomones/rytis-krusinskas-socialiniai-ir-humanitariniai-mokslai-neatsiejama-siuolaikinio-technologijos-universiteto-dalis-18-826740
90,https://www.15min.lt/verslas/naujiena/finansai/valstybe-brangiai-moko-neigaliuosius-profesiju-bet-ju-darbo-ranku-niekam-nereikia-662-825030
91,https://www.15min.lt/naujiena/aktualu/nuomones/egidijus-aleksandravicius-viens-du-trys-18-825132
92,https://www.15min.lt/naujiena/aktualu/nuomones/lina-uziene-lietuvos-aukstojo-mokslo-sistema-kencia-nuo-radikaliu-inovaciju-stygiaus-18-825274
93,https://www.15min.lt/naujiena/aktualu/svietimas/ism-profesore-v-skudiene-igyti-tarptautini-issilavinima-siandien-galima-ir-neisvykstant-is-lietuvos-233-824752
94,https://www.15min.lt/naujiena/aktualu/svietimas/i-studiju-kaina-nebus-iskaiciuojamos-lesos-aukstuju-mokyklu-ukiui-bei-valdymui-233-824654
95,https://www.15min.lt/verslas/naujiena/mokslas-it/planas-po-mikrokompiuteri-visiems-lietuvos-vaikams-isibegeja-1290-824536
96,https://www.15min.lt/naujiena/aktualu/svietimas/teigiamai-ivertinta-523-norinciuju-tapti-mokytojais-motyvacija-233-824516
97,https://www.15min.lt/naujiena/aktualu/svietimas/kokios-profesijos-bus-reikalingos-artimoje-ateityje-patarimai-abiturientams-233-824440
98,https://www.15min.lt/verslas/naujiena/mokslas-it/svietimo-ministre-papasakojo-kokios-zinios-jaunimui-uztikrins-gera-ateiti-1290-824396
99,https://www.15min.lt/naujiena/aktualu/nuomones/genute-gedviliene-kaip-universitetai-gali-prisideti-prie-mokytoju-profesinio-tobulejimo-18-823772
100,https://www.15min.lt/verslas/naujiena/karjera/vokieciai-apie-savo-aukstaji-moksla-politikai-cia-nenurodineja-ka-universitetas-turi-daryti-666-820754
